ID,Notebook,Equity,Bond,Allocation,Inflation,Tax,WR,Success_Rate,Median_Final,Mean_Final,P5_Final,P95_Final,Failed_Simulations,Failed_Pct,Median_Depletion,Mean_Depletion,Min_Depletion,Data_From,Data_To,N_Simulations,Block_Size_Months
0510,0510_block_notax_i_hicp_m_emu_b_deit_701515,MSCI EMU,Bund+BTP,70/15/15,HICP_EU,No Tax,4.0,60.54,358693,1276027,0,5456871,39459,39.5,23,23.1,9,2000-12-30,2025-10-31,100000,6
0511,0511_block_notax_i_hicp_m_emu_b_deit_801010,MSCI EMU,Bund+BTP,80/10/10,HICP_EU,No Tax,4.0,58.31,315216,1507696,0,6728939,41685,41.7,22,22.3,8,2000-12-30,2025-10-31,100000,6
0512,0512_block_notax_i_hicp_m_emu_b_deit_900505,MSCI EMU,Bund+BTP,90/5/5,HICP_EU,No Tax,4.0,56.0,245658,1758570,0,8126117,44000,44.0,22,21.5,7,2000-12-30,2025-10-31,100000,6
0600,0600_block_notax_i_hicp_3_m_world_b_de_6040,MSCI World,Bund,60/40,HICP_EU,No Tax,3.0,95.82,1850878,2301669,58916,6024803,4178,4.2,27,26.7,14,2000-12-30,2025-10-31,100000,6
0601,0601_block_notax_i_hicp_3_m_world_b_de_7030,MSCI World,Bund,70/30,HICP_EU,No Tax,3.0,94.43,2096234,2798778,0,7920764,5572,5.6,27,26.0,13,2000-12-30,2025-10-31,100000,6
0602,0602_block_notax_i_hicp_3_m_world_b_de_8020,MSCI World,Bund,80/20,HICP_EU,No Tax,3.0,92.75,2331297,3376173,0,10306788,7249,7.2,26,25.3,12,2000-12-30,2025-10-31,100000,6
0603,0603_block_notax_i_hicp_3_m_world_b_de_9010,MSCI World,Bund,90/10,HICP_EU,No Tax,3.0,90.99,2540817,4045800,0,13245858,9007,9.0,25,24.6,11,2000-12-30,2025-10-31,100000,6
0604,0604_block_notax_i_hicp_3_m_world_b_de_1000,MSCI World,-,100,HICP_EU,No Tax,3.0,89.11,2724769,4821149,0,16775930,10892,10.9,24,23.9,9,2000-12-30,2025-10-31,100000,6
0605,0605_block_notax_i_hicp_3_m_world_b_it_6040,MSCI World,BTP,60/40,HICP_EU,No Tax,3.0,95.71,2210116,2864884,55971,7821560,4291,4.3,27,26.2,14,2000-12-30,2025-10-31,100000,6
0606,0606_block_notax_i_hicp_3_m_world_b_it_7030,MSCI World,BTP,70/30,HICP_EU,No Tax,3.0,94.48,2391411,3283781,0,9523669,5519,5.5,26,25.7,13,2000-12-30,2025-10-31,100000,6
0607,0607_block_notax_i_hicp_3_m_world_b_it_8020,MSCI World,BTP,80/20,HICP_EU,No Tax,3.0,92.88,2536276,3746867,0,11567912,7123,7.1,26,25.2,12,2000-12-30,2025-10-31,100000,6
0608,0608_block_notax_i_hicp_3_m_world_b_it_9010,MSCI World,BTP,90/10,HICP_EU,No Tax,3.0,91.1,2653424,4258044,0,13988541,8903,8.9,25,24.5,11,2000-12-30,2025-10-31,100000,6
0609,0609_block_notax_i_hicp_3_m_world_b_deit_602020,MSCI World,Bund+BTP,60/20/20,HICP_EU,No Tax,3.0,95.91,2038282,2576896,70092,6839761,4089,4.1,27,26.5,14,2000-12-30,2025-10-31,100000,6
0610,0610_block_notax_i_hicp_3_m_world_b_deit_701515,MSCI World,Bund+BTP,70/15/15,HICP_EU,No Tax,3.0,94.54,2250315,3037100,0,8671513,5463,5.5,26,25.9,13,2000-12-30,2025-10-31,100000,6
0611,0611_block_notax_i_hicp_3_m_world_b_deit_801010,MSCI World,Bund+BTP,80/10/10,HICP_EU,No Tax,3.0,92.83,2435778,3559366,0,10901537,7166,7.2,26,25.3,12,2000-12-30,2025-10-31,100000,6
0612,0612_block_notax_i_hicp_3_m_world_b_deit_900505,MSCI World,Bund+BTP,90/5/5,HICP_EU,No Tax,3.0,91.05,2599385,4151293,0,13611084,8946,8.9,25,24.6,11,2000-12-30,2025-10-31,100000,6
0700,0700_block_notax_i_hicp_35_m_world_b_de_6040,MSCI World,Bund,60/40,HICP_EU,No Tax,3.5,89.08,1371863,1823449,0,5279421,10924,10.9,27,26.1,13,2000-12-30,2025-10-31,100000,6
0701,0701_block_notax_i_hicp_35_m_world_b_de_7030,MSCI World,Bund,70/30,HICP_EU,No Tax,3.5,87.74,1594504,2285406,0,7043332,12261,12.3,26,25.4,12,2000-12-30,2025-10-31,100000,6
0702,0702_block_notax_i_hicp_35_m_world_b_de_8020,MSCI World,Bund,80/20,HICP_EU,No Tax,3.5,86.14,1804237,2824797,0,9275872,13863,13.9,25,24.7,11,2000-12-30,2025-10-31,100000,6
0703,0703_block_notax_i_hicp_35_m_world_b_de_9010,MSCI World,Bund,90/10,HICP_EU,No Tax,3.5,84.46,1990377,3452839,0,12027739,15536,15.5,24,23.9,9,2000-12-30,2025-10-31,100000,6
0704,0704_block_notax_i_hicp_35_m_world_b_de_1000,MSCI World,-,100,HICP_EU,No Tax,3.5,82.56,2146780,4182659,0,15379630,17439,17.4,24,23.2,8,2000-12-30,2025-10-31,100000,6
0705,0705_block_notax_i_hicp_35_m_world_b_it_6040,MSCI World,BTP,60/40,HICP_EU,No Tax,3.5,89.74,1695244,2339870,0,6967696,10264,10.3,26,25.7,13,2000-12-30,2025-10-31,100000,6
0706,0706_block_notax_i_hicp_35_m_world_b_it_7030,MSCI World,BTP,70/30,HICP_EU,No Tax,3.5,88.36,1861537,2731496,0,8554154,11640,11.6,26,25.1,12,2000-12-30,2025-10-31,100000,6
0707,0707_block_notax_i_hicp_35_m_world_b_it_8020,MSCI World,BTP,80/20,HICP_EU,No Tax,3.5,86.66,1988842,3166802,0,10492891,13343,13.3,25,24.5,11,2000-12-30,2025-10-31,100000,6
0708,0708_block_notax_i_hicp_35_m_world_b_it_9010,MSCI World,BTP,90/10,HICP_EU,No Tax,3.5,84.77,2090054,3649220,0,12723639,15228,15.2,24,23.8,9,2000-12-30,2025-10-31,100000,6
0709,0709_block_notax_i_hicp_35_m_world_b_deit_602020,MSCI World,Bund+BTP,60/20/20,HICP_EU,No Tax,3.5,89.74,1542400,2074590,0,6041496,10263,10.3,27,25.9,13,2000-12-30,2025-10-31,100000,6
0710,0710_block_notax_i_hicp_35_m_world_b_deit_701515,MSCI World,Bund+BTP,70/15/15,HICP_EU,No Tax,3.5,88.17,1733153,2503931,0,7749608,11830,11.8,26,25.3,12,2000-12-30,2025-10-31,100000,6
0711,0711_block_notax_i_hicp_35_m_world_b_deit_801010,MSCI World,Bund+BTP,80/10/10,HICP_EU,No Tax,3.5,86.48,1900663,2993496,0,9842846,13520,13.5,25,24.6,11,2000-12-30,2025-10-31,100000,6
0712,0712_block_notax_i_hicp_35_m_world_b_deit_900505,MSCI World,Bund+BTP,90/5/5,HICP_EU,No Tax,3.5,84.62,2041139,3550379,0,12383017,15384,15.4,24,23.9,9,2000-12-30,2025-10-31,100000,6
0800,0800_block_notax_i_hicp_3_m_acwi_b_de_6040,MSCI ACWI,Bund,60/40,HICP_EU,No Tax,3.0,95.3,1771978,2217328,20490,5862139,4703,4.7,27,26.6,14,2000-12-30,2025-10-31,100000,6
