"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2015","735.43","730.57","735.43","728.36","","0.75%"
"03/03/2015","729.92","736.88","739.04","729.54","","-0.87%"
"03/02/2015","736.35","737.34","739.92","733.28","","-0.23%"
"02/27/2015","738.07","736.06","738.13","733.13","","0.39%"
"02/26/2015","735.22","728.74","735.22","728.28","","1.03%"
"02/25/2015","727.73","728.16","728.69","725.72","","-0.13%"
"02/24/2015","728.66","725.14","729.18","723.34","","0.57%"
"02/23/2015","724.53","721.81","724.53","720.99","","0.74%"
"02/20/2015","719.24","717.32","719.31","716.27","","0.23%"
"02/19/2015","717.62","713.42","718.34","709.98","","0.32%"
"02/18/2015","715.33","710.90","715.33","710.90","","0.89%"
"02/17/2015","709.03","707.50","709.21","702.96","","0.13%"
"02/16/2015","708.14","709.11","709.19","706.93","","-0.14%"
"02/13/2015","709.10","705.56","710.77","705.56","","0.60%"
"02/12/2015","704.88","698.65","706.20","698.47","","0.79%"
"02/11/2015","699.34","700.94","702.10","697.65","","-0.24%"
"02/10/2015","701.04","697.48","702.73","694.21","","0.64%"
"02/09/2015","696.55","698.60","698.60","691.83","","-0.74%"
"02/06/2015","701.74","699.67","702.81","697.26","","0.22%"
"02/05/2015","700.23","698.50","700.44","695.45","","0.12%"
"02/04/2015","699.37","696.37","699.37","693.70","","0.49%"
"02/03/2015","695.95","692.34","699.50","692.34","","0.82%"
"02/02/2015","690.32","689.65","691.74","684.64","","0.06%"
"01/30/2015","689.89","693.75","695.78","688.50","","-0.46%"
"01/29/2015","693.09","691.19","695.03","688.43","","-0.08%"
"01/28/2015","693.67","696.04","698.05","689.18","","0.13%"
"01/27/2015","692.78","699.46","700.45","689.74","","-0.99%"
"01/26/2015","699.71","694.62","699.71","692.35","","0.55%"
"01/23/2015","695.91","686.76","699.56","686.76","","1.74%"
"01/22/2015","684.04","674.37","684.89","671.80","","1.67%"
"01/21/2015","672.82","669.90","672.82","663.74","","0.61%"
"01/20/2015","668.76","664.59","671.50","664.59","","0.79%"
"01/19/2015","663.54","660.06","666.97","660.06","","0.23%"
"01/16/2015","662.05","656.25","662.23","648.58","","1.13%"
"01/15/2015","654.64","641.48","663.77","625.21","","2.60%"
"01/14/2015","638.05","643.42","647.44","635.49","","-1.46%"
"01/13/2015","647.50","636.37","649.08","635.26","","1.44%"
"01/12/2015","638.29","635.68","641.45","632.20","","0.58%"
"01/09/2015","634.63","642.37","643.60","631.54","","-1.29%"
"01/08/2015","642.94","629.40","644.04","629.40","","2.75%"
"01/07/2015","625.72","624.24","630.04","622.81","","0.48%"
"01/06/2015","622.75","627.83","630.64","621.30","","-0.71%"
"01/05/2015","627.21","639.59","643.98","626.93","","-2.15%"
"01/02/2015","640.99","645.90","647.22","639.02","","-0.35%"
"12/31/2014","643.24","643.24","643.24","643.24","","0.45%"
"12/30/2014","640.38","645.30","645.30","640.12","","-0.95%"
"12/29/2014","646.49","646.08","648.01","640.64","","0.12%"
"12/24/2014","645.72","645.73","646.58","644.97","","-0.05%"
"12/23/2014","646.05","642.05","646.05","642.05","","0.61%"
"12/22/2014","642.12","640.41","644.80","640.28","","0.50%"
"12/19/2014","638.91","639.44","641.63","633.01","","0.37%"
"12/18/2014","636.55","622.49","636.55","622.49","","2.95%"
"12/17/2014","618.29","614.47","619.95","610.84","","0.14%"
"12/16/2014","617.42","607.90","617.48","598.78","","1.73%"
"12/15/2014","606.94","620.22","625.40","606.70","","-2.17%"
"12/12/2014","620.43","634.76","634.76","620.43","","-2.58%"
"12/11/2014","636.89","635.71","638.74","631.80","","0.01%"
"12/10/2014","636.85","640.58","644.55","635.86","","-0.34%"
"12/09/2014","639.03","651.43","651.43","638.87","","-2.33%"
"12/08/2014","654.29","657.37","657.69","654.29","","-0.67%"
"12/05/2014","658.70","650.16","658.70","650.16","","1.78%"
"12/04/2014","647.16","656.34","658.71","646.63","","-1.28%"
"12/03/2014","655.56","652.23","656.89","652.23","","0.57%"
"12/02/2014","651.87","650.25","654.95","650.25","","0.51%"
"12/01/2014","648.55","648.36","649.85","645.52","","-0.46%"
"11/28/2014","651.57","651.50","652.05","648.37","","-0.07%"
"11/27/2014","652.01","650.51","652.90","649.80","","0.35%"
"11/26/2014","649.71","650.29","652.58","649.11","","0.00%"
"11/25/2014","649.72","648.34","652.76","647.70","","0.16%"
"11/24/2014","648.65","648.11","649.87","647.95","","0.14%"
"11/21/2014","647.73","635.30","648.28","635.30","","2.06%"
"11/20/2014","634.68","635.87","635.99","630.69","","-0.22%"
"11/19/2014","636.11","636.09","638.49","634.19","","-0.03%"
"11/18/2014","636.29","632.44","637.03","632.17","","0.61%"
"11/17/2014","632.46","626.31","633.33","624.59","","0.49%"
"11/14/2014","629.39","630.48","631.26","626.12","","-0.07%"
"11/13/2014","629.82","629.28","632.41","625.81","","0.25%"
"11/12/2014","628.22","634.14","634.99","627.30","","-1.12%"
"11/11/2014","635.35","633.44","636.42","633.14","","0.36%"
"11/10/2014","633.05","628.11","633.05","626.91","","0.73%"
"11/07/2014","628.45","632.93","634.18","625.47","","-0.54%"
"11/06/2014","631.87","628.89","636.79","626.78","","0.27%"
"11/05/2014","630.19","623.06","630.38","622.72","","1.66%"
"11/04/2014","619.91","625.30","629.17","619.04","","-1.01%"
"11/03/2014","626.21","630.91","632.63","625.34","","-0.75%"
"10/31/2014","630.97","624.80","631.41","624.68","","1.84%"
"10/30/2014","619.56","618.13","620.55","609.40","","0.59%"
"10/29/2014","615.92","616.10","618.83","615.15","","0.16%"
"10/28/2014","614.92","610.98","615.70","610.98","","0.97%"
"10/27/2014","609.02","615.96","618.31","606.08","","-0.63%"
"10/24/2014","612.90","613.53","614.77","610.72","","-0.33%"
"10/23/2014","614.93","610.29","615.81","604.35","","0.70%"
"10/22/2014","610.68","606.74","611.04","603.51","","0.73%"
"10/21/2014","606.24","592.67","606.24","589.90","","2.12%"
"10/20/2014","593.65","596.78","597.69","590.20","","-0.50%"
"10/17/2014","596.64","581.64","597.09","580.19","","2.79%"
"10/16/2014","580.44","585.71","588.94","566.32","","-0.42%"
"10/15/2014","582.91","602.33","602.33","582.06","","-3.16%"
"10/14/2014","601.96","599.83","603.23","593.36","","-0.01%"
"10/13/2014","602.00","599.57","605.43","597.12","","-0.01%"
"10/10/2014","602.06","608.04","608.04","599.70","","-1.55%"
"10/09/2014","611.52","617.99","620.74","610.22","","-0.39%"
"10/08/2014","613.94","617.71","617.71","612.21","","-0.86%"
"10/07/2014","619.28","628.03","628.03","619.28","","-1.53%"
"10/06/2014","628.91","628.98","632.37","628.25","","0.24%"
